land,wahlkreis,gemeinde,bezirksart,bsw_votes,bd_votes,valid_total,bsw_pred_pct,bsw_resid,bsw_resid_z,p_bsw_zero,bd_pctile_land,flags,recount_status,source,claim,missing_votes
BY,248,"Rieneck, St",5,0,16,844,4.482,-4.482,-2.804,0.0,0.9992,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,37.8
SH,1,"Flensburg, Stadt",0,0,4,840,4.219,-4.219,-2.64,0.0,0.9199,suspicious_zero|large_negative_resid,unknown,,,35.4
SH,7,"Wedel, Stadt",0,0,31,780,4.357,-4.357,-2.726,0.0,0.9997,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,not_recounted,BSW Erwiderung (Lipinski),"BD=31, BSW=0",34.0
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Bergedorf",5,0,23,612,5.273,-5.273,-3.299,0.0,0.9985,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,32.3
HH,20,"Hamburg, Freie und Hansestadt, Bezirk Eimsbüttel",0,0,33,693,4.104,-4.104,-2.568,0.0,1.0,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,28.4
NI,31,"Meppen, Stadt",5,0,18,759,3.481,-3.481,-2.178,1e-06,0.9989,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,26.4
NI,43,"Neustadt am Rübenberge, Stadt",0,0,4,479,5.476,-5.476,-3.426,0.0,0.9871,suspicious_zero|large_negative_resid|high_bd,unknown,,,26.2
NW,127,"Tecklenburg, Stadt",5,0,17,735,3.177,-3.177,-1.988,2e-06,0.9998,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,23.4
RP,198,"Lahnstein, Stadt",5,0,0,691,3.355,-3.355,-2.099,2e-06,0.283,suspicious_zero|large_negative_resid,unknown,,,23.2
HE,180,"Hochheim am Main, Stadt",5,0,20,619,3.694,-3.694,-2.311,1e-06,0.9997,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,22.9
HH,23,"Hamburg, Freie und Hansestadt, Bezirk Harburg",0,0,18,411,5.523,-5.523,-3.456,0.0,0.9995,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,22.7
NI,45,Ilsede,0,0,12,498,4.141,-4.141,-2.591,2e-06,0.999,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,20.6
NW,98,Reichshof,0,0,18,483,4.226,-4.226,-2.644,2e-06,0.9999,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,20.4
HH,22,"Hamburg, Freie und Hansestadt, Bezirk Wandsbek (Teil)",0,0,21,506,4.036,-4.036,-2.525,2e-06,0.999,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,20.4
BY,251,Augsburg,0,0,23,733,2.566,-2.566,-1.605,2.9e-05,0.9999,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,18.8
BY,250,Veitshöchheim,5,0,0,823,2.195,-2.195,-1.374,7.1e-05,0.3568,suspicious_zero,unknown,,,18.1
NI,52,Katlenburg-Lindau,0,0,16,544,3.273,-3.273,-2.048,1.6e-05,0.9995,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,not_recounted,BSW Erwiderung (Lipinski),"BD=16, BSW=0",17.8
SH,10,Stapelfeld,0,0,0,431,3.769,-3.769,-2.358,1.8e-05,0.2333,suspicious_zero|large_negative_resid,unknown,,,16.2
BW,281,Gottenheim,0,0,0,500,3.212,-3.212,-2.009,3.5e-05,0.29,suspicious_zero|large_negative_resid,unknown,,,16.1
HE,180,"Eppstein, Stadt",5,0,14,471,3.415,-3.415,-2.137,2.8e-05,0.9993,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,16.1
BW,281,"Freiburg im Breisgau, Stadt",5,0,0,448,3.476,-3.476,-2.175,3.3e-05,0.29,suspicious_zero|large_negative_resid,unknown,,,15.6
BY,231,Poppenricht,5,0,1,592,2.626,-2.626,-1.643,8.7e-05,0.7689,suspicious_zero,unknown,,,15.5
NI,36,Tespe,0,0,15,372,4.177,-4.177,-2.614,1.8e-05,1.0,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,15.5
BY,256,Durach,0,0,0,438,3.525,-3.525,-2.205,3.4e-05,0.3568,suspicious_zero|large_negative_resid,unknown,,,15.4
BW,294,Achberg,5,0,0,351,4.283,-4.283,-2.68,2.2e-05,0.29,suspicious_zero|large_negative_resid,unknown,,,15.0
BY,214,Gröbenzell,5,0,0,678,2.07,-2.07,-1.295,0.000331,0.3568,suspicious_zero,unknown,,,14.0
BY,235,Frensdorf,5,0,11,428,3.222,-3.222,-2.016,9.5e-05,0.9996,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,13.8
NI,53,Rhumspringe,0,0,16,481,2.852,-2.852,-1.784,0.000141,0.9997,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,13.7
BY,215,"Kösching, M",5,0,0,462,2.951,-2.951,-1.846,0.000133,0.3568,suspicious_zero,unknown,,,13.6
MV,16,Neetzow-Liepen,0,0,10,138,9.873,-9.873,-6.178,6e-06,1.0,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,13.6
BY,256,Durach,5,0,13,434,3.135,-3.135,-1.962,0.000112,0.9998,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,13.6
BW,259,"Stuttgart, Landeshauptstadt (Teil)",5,0,0,593,2.254,-2.254,-1.41,0.000327,0.29,suspicious_zero,unknown,,,13.4
HE,175,"Friedrichsdorf, Philipp-Reis-Stadt",0,0,0,504,2.605,-2.605,-1.63,0.000236,0.2538,suspicious_zero,unknown,,,13.1
BY,245,Schwarzenbruck,5,0,13,482,2.682,-2.682,-1.678,0.000238,0.9997,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,12.9
BY,244,Nürnberg (Teil),5,0,0,382,3.372,-3.372,-2.11,0.00013,0.3568,suspicious_zero|large_negative_resid,unknown,,,12.9
BY,241,Erlangen,0,0,0,528,2.303,-2.303,-1.441,0.000498,0.3568,suspicious_zero,unknown,,,12.2
HE,166,Breuna,0,0,5,274,4.127,-4.127,-2.582,0.000185,0.9963,suspicious_zero|large_negative_resid|high_bd,unknown,,,11.3
NW,148,Finnentrop,0,0,2,296,3.782,-3.782,-2.366,0.000239,0.9849,suspicious_zero|large_negative_resid|high_bd,unknown,,,11.2
SN,157,Reinhardtsdorf-Schöna,5,0,12,152,7.26,-7.26,-4.543,7.2e-05,1.0,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,protocol_check_only,BSW Erwiderung (Lipinski),"Brief BSW=0/152, BD=12 (7.9%)",11.0
HE,180,"Eschborn, Stadt",0,0,13,512,2.132,-2.132,-1.334,0.001014,0.9988,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,10.9
BY,246,"Schöllkrippen, M",5,0,0,354,3.052,-3.052,-1.909,0.000471,0.3568,suspicious_zero,unknown,,,10.8
BY,246,"Stockstadt a.Main, M",5,0,2,354,2.989,-2.989,-1.87,0.000552,0.9756,suspicious_zero,unknown,,,10.6
RP,210,Knöringen,0,0,8,211,4.952,-4.952,-3.098,0.000217,0.9993,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,10.4
BY,248,Mittelsinn,5,0,8,286,3.585,-3.585,-2.243,0.000453,0.9998,suspicious_zero|large_negative_resid|high_bd|zero_bsw_nonzero_bd,unknown,,,10.3
BY,227,"Rottenburg a.d.Laaber, St",0,0,0,270,3.776,-3.776,-2.362,0.000424,0.3568,suspicious_zero|large_negative_resid,unknown,,,10.2
NW,98,"Bergneustadt, Stadt",0,0,0,225,4.016,-4.016,-2.513,0.000767,0.2513,suspicious_zero|large_negative_resid,unknown,,,9.0
BY,239,"Ebensfeld, M",5,0,6,400,2.209,-2.209,-1.382,0.002399,0.9987,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,8.8
NI,49,Sickte,0,0,0,159,5.217,-5.217,-3.264,0.000861,0.2877,suspicious_zero|large_negative_resid,unknown,,,8.3
BY,239,"Rattelsdorf, M",0,0,0,227,3.551,-3.551,-2.222,0.001703,0.3568,suspicious_zero|large_negative_resid,unknown,,,8.1
BY,221,Raubling,0,0,16,326,2.477,-2.477,-1.55,0.002906,1.0,suspicious_zero|high_bd|zero_bsw_nonzero_bd,unknown,,,8.1
BY,213,Münchsmünster,5,0,0,270,3.014,-3.014,-1.886,0.002069,0.3568,suspicious_zero,unknown,,,8.1
BY,255,"Fischach, M",5,0,0,445,1.819,-1.819,-1.138,0.004787,0.3568,suspicious_zero,unknown,,,8.1
BB,65,"Schönewalde, Stadt",0,0,1,63,11.671,-11.671,-7.303,0.000753,0.9922,suspicious_zero|large_negative_resid|high_bd,unknown,,,7.4
